DATE,LRAC25TTJPM156N
1991-08-01,81.4375836360161
1991-09-01,81.8685517768437
1991-10-01,82.0076481835564
1991-11-01,82.2358346094946
1991-12-01,81.9489737195473
1992-01-01,81.2116564417178
1992-02-01,81.5346345197091
1992-03-01,81.4999043428353
1992-04-01,81.8773946360153
1992-05-01,82.1155317521041
1992-06-01,82.0507924384189
1992-07-01,81.5613666730292
1992-08-01,81.3465573145146
1992-09-01,81.7228892700591
1992-10-01,82.4976167778837
1992-11-01,82.4404194470925
1992-12-01,81.9415249378941
1993-01-01,81.20587674108
1993-02-01,80.7244995233556
1993-03-01,80.9614650896604
1993-04-01,81.8025587168226
1993-05-01,82.1646341463415
1993-06-01,81.9462959436298
1993-07-01,81.4307458143074
1993-08-01,81.3759026985937
1993-09-01,81.8112777672299
1993-10-01,82.1876186859096
1993-11-01,82.1509863429439
1993-12-01,81.7871371656232
1994-01-01,81.2547384382108
1994-02-01,80.8792874739435
1994-03-01,81.0236966824645
1994-04-01,81.7716236722306
1994-05-01,82.3585084232444
1994-06-01,82.1104387291982
1994-07-01,81.4709775004727
1994-08-01,81.152030217186
1994-09-01,81.6380449141347
1994-10-01,81.9898055503115
1994-11-01,81.5178402869549
1994-12-01,80.8876298394712
1995-01-01,80.7431158053565
1995-02-01,80.8948461393241
1995-03-01,81.0764872521246
1995-04-01,81.4933837429112
1995-05-01,81.8902093944539
1995-06-01,82.08027133974
1995-07-01,81.7581588379551
1995-08-01,81.4326107445806
1995-09-01,81.9774011299435
1995-10-01,81.8489926567501
1995-11-01,81.4229249011858
1995-12-01,81.2476441764041
1996-01-01,81.0581811334965
1996-02-01,80.9918913822365
1996-03-01,81.7324023400642
1996-04-01,82.0774315391879
1996-05-01,82.0305142211339
1996-06-01,82.3008849557522
1996-07-01,82.2155237377544
1996-08-01,81.7617165443252
1996-09-01,82.2577610536218
1996-10-01,82.3175319789315
1996-11-01,81.821603312006
1996-12-01,81.6330379030737
1997-01-01,81.8643112196956
1997-02-01,81.9890956946794
1997-03-01,82.1240601503759
1997-04-01,82.5023518344309
1997-05-01,82.6511453248216
1997-06-01,82.9080675422139
1997-07-01,82.46996996997
1997-08-01,82.0825515947467
1997-09-01,82.6616682286785
1997-10-01,82.7495785727664
1997-11-01,81.9850187265918
1997-12-01,81.9546051397486
1998-01-01,82.0906706631697
1998-02-01,81.7671284163235
1998-03-01,82.0104829651816
1998-04-01,82.140179910045
1998-05-01,82.4200486253974
1998-06-01,82.6509627967844
1998-07-01,82.1034933682047
1998-08-01,82.1661998132586
1998-09-01,82.390289449113
1998-10-01,82.4089635854342
1998-11-01,82.1082089552239
1998-12-01,81.556303778526
1999-01-01,81.4088191330344
1999-02-01,81.4275037369208
1999-03-01,81.7960710944808
1999-04-01,82.2251357932197
1999-05-01,82.2109988776656
1999-06-01,82.2076707202994
1999-07-01,81.9846757615399
1999-08-01,82.235491696212
1999-09-01,82.5251771726968
1999-10-01,82.3759791122715
1999-11-01,82.3770491803279
1999-12-01,81.8046234153617
2000-01-01,81.4360119047619
2000-02-01,81.4009661835749
2000-03-01,81.4546130952381
2000-04-01,82.2127025516856
2000-05-01,82.4721189591078
2000-06-01,82.4479940564636
2000-07-01,82.1879643387816
2000-08-01,82.0560400816478
2000-09-01,82.1163825055597
2000-10-01,82.2004074828672
2000-11-01,82.5041612724246
2000-12-01,82.0365921271484
2001-01-01,82.1454948301329
2001-02-01,82.2181146025878
2001-03-01,81.7109144542773
2001-04-01,82.0512820512821
2001-05-01,82.5390984360626
2001-06-01,82.5910931174089
2001-07-01,82.2696339893324
2001-08-01,82.0890033100404
2001-09-01,82.2263109475621
2001-10-01,82.3713235294118
2001-11-01,82.6933676281462
2001-12-01,82.0876288659794
2002-01-01,81.5225424981522
2002-02-01,81.6953544327226
2002-03-01,81.9428995179829
2002-04-01,82.0159940487261
2002-05-01,81.9599109131403
2002-06-01,82.1455085374907
2002-07-01,82.1986607142857
2002-08-01,82.1262334760752
2002-09-01,82.222635889799
2002-10-01,82.6224622834792
2002-11-01,82.8262086988986
2002-12-01,82.1822945910537
2003-01-01,81.7466266866567
2003-02-01,81.5141837309788
2003-03-01,82.0623591284748
2003-04-01,82.1778447626224
2003-05-01,82.5465488057175
2003-06-01,82.7754795035728
2003-07-01,82.4637408174798
2003-08-01,82.2653599698455
2003-09-01,82.274184423911
2003-10-01,82.7228096676737
2003-11-01,82.6243146152392
2003-12-01,82.2837632776935
2004-01-01,82.1218447523249
2004-02-01,82.1034613921643
2004-03-01,81.9980970504282
2004-04-01,82.1693625118934
2004-05-01,82.6186392224128
2004-06-01,82.6959847036329
2004-07-01,82.4823101931536
2004-08-01,82.6153551598698
2004-09-01,82.5670498084291
2004-10-01,82.7387802071346
2004-11-01,82.299865617201
2004-12-01,81.9476520400308
2005-01-01,82.1366698748797
2005-02-01,82.1070878274268
2005-03-01,82.2359528866576
2005-04-01,82.5657894736842
2005-05-01,83.0920671685003
2005-06-01,82.9112700560603
2005-07-01,82.8720727694988
2005-08-01,82.5396825396826
2005-09-01,82.952786377709
2005-10-01,83.2816737698566
2005-11-01,82.467028704422
2005-12-01,82.1379980563654
2006-01-01,82.431906614786
2006-02-01,82.4571651090343
2006-03-01,82.6070038910506
2006-04-01,82.98828125
2006-05-01,83.4535178327811
2006-06-01,83.0865159781762
2006-07-01,82.8844652615144
2006-08-01,83.1348819051337
2006-09-01,83.2585365853659
2006-10-01,83.3593445181428
2006-11-01,83.0667186890363
2006-12-01,82.7235374682058
2007-01-01,82.5240809907608
2007-02-01,82.5659189295553
2007-03-01,83.1265997243552
2007-04-01,83.6453201970444
2007-05-01,84.0362633031139
2007-06-01,83.6879432624114
2007-07-01,83.297180043384
2007-08-01,83.2807570977918
2007-09-01,83.4484119155652
2007-10-01,83.6915795701045
2007-11-01,83.7608524072612
2007-12-01,83.5405565423327
2008-01-01,83.2674832082181
2008-02-01,83.0991490203839
2008-03-01,83.1320530588002
2008-04-01,83.4357043788389
2008-05-01,83.6896278701504
2008-06-01,83.7425742574258
2008-07-01,83.442265795207
2008-08-01,83.4620716973658
2008-09-01,83.6568938193344
2008-10-01,83.6370839936609
2008-11-01,83.9144215530903
2008-12-01,83.7896825396826
2009-01-01,83.664152441445
2009-02-01,83.5319825188717
2009-03-01,83.4625322997416
2009-04-01,83.6746868164645
2009-05-01,83.7972166998012
2009-06-01,83.7509944311854
2009-07-01,83.740806996621
2009-08-01,84.2377260981912
2009-09-01,84.4899582421953
2009-10-01,84.3706502286737
2009-11-01,84.1225626740947
2009-12-01,83.7348198287876
2010-01-01,83.7056242520941
2010-02-01,83.812375249501
2010-03-01,83.9289279297265
2010-04-01,84.2862854858057
2010-05-01,84.3849840255591
2010-06-01,84.0087841884608
2010-07-01,84.162172957859
2010-08-01,84.3387934478626
2010-09-01,84.6415018973437
2010-10-01,84.50788580555
2010-11-01,84.2420611144398
2010-12-01,83.7125748502994
2011-01-01,83.9192968437874
2011-02-01,84.1463414634146
2011-03-01,84.2508570276265
2011-04-01,84.4973758578926
2011-05-01,84.6572580645161
2011-06-01,84.7782258064516
2011-07-01,84.4386212457166
2011-08-01,84.2966855295069
2011-09-01,84.2432757928543
2011-10-01,84.4765342960289
2011-11-01,84.2495987158909
2011-12-01,83.781613809715
2012-01-01,83.7377180669741
2012-02-01,83.5841862331929
2012-03-01,83.6812525090325
2012-04-01,84.2507030936119
2012-05-01,84.3988741455569
2012-06-01,84.5767142569877
2012-07-01,84.0570969039003
2012-08-01,83.8528051477981
2012-09-01,84.2814070351759
2012-10-01,84.4824120603015
2012-11-01,84.2782468837957
2012-12-01,83.7826961770624
2013-01-01,84.3239975821076
2013-02-01,84.2848497074844
2013-03-01,84.3157044812273
2013-04-01,84.9464538290564
2013-05-01,85.1141183599273
2013-06-01,84.9929307210664
2013-07-01,84.6433622954132
2013-08-01,84.6371538306044
2013-09-01,85.168720953728
2013-10-01,85.4486661277284
2013-11-01,85.2637962401455
2013-12-01,85.1679481991097
2014-01-01,84.8429584599797
2014-02-01,84.8103832893936
2014-03-01,84.8324873096447
2014-04-01,85.1656167445641
2014-05-01,85.5546525802519
2014-06-01,85.3832079690994
2014-07-01,85.0640113798009
2014-08-01,85.0549003660024
2014-09-01,85.6649044326962
